anime_id	name	genre	type	episodes
454	.hack//Gift	Comedy, Fantasy, Game	OVA	1
1143	.hack//Intermezzo	Adventure, Fantasy, Game, Magic, Mystery, Sci-Fi	Special	1
299	.hack//Liminality	Game, Mystery, Sci-Fi	OVA	4
873	.hack//Roots	Adventure, Drama, Fantasy, Game, Sci-Fi	TV	26
48	.hack//Sign	Adventure, Fantasy, Game, Magic, Mystery, Sci-Fi	TV	26
298	.hack//Tasogare no Udewa Densetsu	Adventure, Comedy, Fantasy, Game, Sci-Fi, Shounen	TV	12
1994	.hack//Tasogare no Udewa Densetsu: Offline de Aimashou	Adventure, Comedy, Fantasy, Game, Sci-Fi	Special	1
1487	.hack//Unison	Adventure, Comedy, Fantasy, Game, Magic, Sci-Fi	Special	1
1692	_Summer	Drama, Harem, Romance	OVA	2
1583	009-1	Action, Mecha, Sci-Fi, Seinen	TV	12
1549	1000-nen Joou: Queen Millennia	Adventure, Drama, Fantasy, Sci-Fi	Movie	1
1901	11-nin Iru!	Action, Adventure, Drama, Mystery, Romance, Sci-Fi, Shoujo, Space	Movie	1
300	3x3 Eyes	Action, Demons, Fantasy, Horror, Romance	OVA	4
1225	3x3 Eyes Seima Densetsu	Action, Adventure, Demons, Fantasy, Horror, Romance	OVA	3
320	A Kite	Action, Drama, Hentai, Police	OVA	2
1349	A.D. Police (TV)	Action, Mecha, Sci-Fi, Shounen	TV	12
49	Aa! Megami-sama!	Comedy, Magic, Romance, Seinen, Supernatural	OVA	5
50	Aa! Megami-sama! (TV)	Comedy, Magic, Romance, Seinen, Supernatural	TV	24
1003	Aa! Megami-sama! (TV) Specials	Comedy, Magic, Romance, Seinen, Supernatural	Special	3
304	Aa! Megami-sama! Movie	Comedy, Magic, Romance, Seinen, Supernatural	Movie	1
303	Aa! Megami-sama!: Chichaitte Koto wa Benri da ne	Comedy, Magic, Supernatural	TV	48
880	Aa! Megami-sama!: Sorezore no Tsubasa	Comedy, Magic, Romance, Seinen, Supernatural	TV	22
305	Abashiri Ikka	Action, Comedy, Shounen	OVA	4
306	Abenobashi Mahou☆Shoutengai	Comedy, Ecchi, Fantasy, Parody	TV	13
311	Ace wo Nerae!	Drama, Romance, School, Shoujo, Sports	TV	26
313	Ace wo Nerae! (1979)	Drama, Romance, School, Shoujo, Sports	Movie	1
314	Ace wo Nerae! 2	Drama, Shoujo, Sports	OVA	13
312	Ace wo Nerae!: Final Stage	Action, Drama, Sports	OVA	12
1346	AD Police	Adventure, Dementia, Mecha, Mystery, Police, Psychological, Sci-Fi, Thriller	OVA	3
1292	Afro Samurai	Action, Adventure, Samurai	TV	5
92	After War Gundam X	Adventure, Drama, Mecha, Sci-Fi, Space	TV	39
244	Agatha Christie no Meitantei Poirot to Marple	Historical, Mystery	TV	39
1791	Ai Doll	Drama, Hentai	OVA	4
719	Ai no Kusabi	Drama, Romance, Sci-Fi, Yaoi	OVA	2
1635	Ai Shimai 2: Futari no Kajitsu	Hentai	OVA	2
1636	Ai Shimai Tsubomi... Kegashite Kudasai	Hentai	OVA	2
1634	Ai Shimai: Futari no Kajitsu	Hentai	OVA	3
1533	Ai Tenshi Densetsu Wedding Peach	Adventure, Comedy, Magic, Romance, Shoujo	TV	51
1957	Ai Tenshi Densetsu Wedding Peach DX	Adventure, Comedy, Magic, Romance, Shoujo	OVA	4
1895	Ai wa Kagi no Kazu dake... Fuuzoku Mansion	Hentai	OVA	1
53	Ai Yori Aoshi	Comedy, Drama, Harem, Romance, Slice of Life	TV	24
394	Ai Yori Aoshi: Enishi	Comedy, Drama, Harem, Romance, Slice of Life	TV	12
366	AIKa	Action, Adventure, Comedy, Ecchi, Sci-Fi	OVA	7
101	Air	Drama, Romance, Slice of Life, Supernatural	TV	13
857	Air Gear	Action, Comedy, Ecchi, Shounen, Sports	TV	25
656	Air in Summer	Comedy, Drama, Historical, Romance, Supernatural	Special	2
230	Air Master	Action, Comedy, Martial Arts, Seinen	TV	27
713	Air Movie	Drama, Romance, Supernatural	Movie	1
102	Aishiteruze Baby★★	Comedy, Drama, Romance, Shoujo	TV	26
1734	Ajimu: Kaigan Monogatari	Comedy, Drama, Romance, School	ONA	4
1485	Akachan to Boku	Comedy, Drama, Shoujo	TV	35
283	Akage no Anne	Drama, Historical, Slice of Life	TV	50
309	Akahori Gedou Hour Rabuge	Comedy, Magic, Parody	TV	13
281	Akane Maniax	Comedy, Mecha, Romance	OVA	3
103	Akazukin Chacha	Adventure, Comedy, Fantasy, Magic, Romance, Shoujo	TV	74
367	Akazukin Chacha OVA	Comedy, Fantasy, Magic	OVA	3
1896	Akiba Kei Kanojo	Hentai	OVA	3
47	Akira	Action, Adventure, Horror, Military, Sci-Fi, Supernatural	Movie	1
1295	A-Ko The Versus	Action, Adventure, Comedy, Romance, Sci-Fi, Super Power	OVA	2
1442	Alexander Senki	Action, Adventure, Fantasy, Historical, Sci-Fi, Supernatural	TV	13
1177	Alien 9	Horror, School, Sci-Fi	OVA	4
